Year Age Catch
1980 3 275
1980 4 2540
1980 5 5214
1980 6 2596
1980 7 2169
1980 8 1341
1980 9 387
1980 10 262
1980 11 155
1980 12 112
1980 13 64
1980 14 33
1981 3 203
1981 4 1325
1981 5 3503
1981 6 5404
1981 7 1457
1981 8 1415
1981 9 578
1981 10 242
1981 11 61
1981 12 154
1981 13 135
1981 14 128
1982 3 508
1982 4 1092
1982 5 2804
1982 6 4845
1982 7 4293
1982 8 1215
1982 9 975
1982 10 306
1982 11 59
1982 12 35
1982 13 48
1982 14 46
1983 3 107
1983 4 1750
1983 5 1065
1983 6 2455
1983 7 4454
1983 8 2311
1983 9 501
1983 10 251
1983 11 38
1983 12 12
1983 13 2
1983 14 4
1984 3 53
1984 4 657
1984 5 800
1984 6 1825
1984 7 2184
1984 8 3610
1984 9 844
1984 10 376
1984 11 291
1984 12 135
1984 13 185
1984 14 226
1985 3 376
1985 4 4014
1985 5 3366
1985 6 1958
1985 7 1536
1985 8 1172
1985 9 747
1985 10 479
1985 11 74
1985 12 23
1985 13 72
1985 14 71
1986 3 3108
1986 4 1400
1986 5 4170
1986 6 2665
1986 7 1550
1986 8 1116
1986 9 628
1986 10 1549
1986 11 216
1986 12 51
1986 13 30
1986 14 14
1987 3 956
1987 4 5135
1987 5 4428
1987 6 5409
1987 7 2915
1987 8 1348
1987 9 661
1987 10 496
1987 11 498
1987 12 58
1987 13 27
1987 14 48
1988 3 1318
1988 4 5067
1988 5 6619
1988 6 3678
1988 7 2859
1988 8 1775
1988 9 845
1988 10 226
1988 11 270
1988 12 107
1988 13 24
1988 14 1
1989 3 315
1989 4 4313
1989 5 8471
1989 6 7309
1989 7 1794
1989 8 1928
1989 9 848
1989 10 270
1989 11 191
1989 12 135
1989 13 76
1989 14 10
1990 3 143
1990 4 1692
1990 5 5471
1990 6 10112
1990 7 6174
1990 8 1816
1990 9 1087
1990 10 380
1990 11 151
1990 12 55
1990 13 76
1990 14 37
1991 3 198
1991 4 874
1991 5 3613
1991 6 6844
1991 7 10772
1991 8 3223
1991 9 858
1991 10 838
1991 11 228
1991 12 40
1991 13 6
1991 14 5
1992 3 242
1992 4 2928
1992 5 3844
1992 6 4355
1992 7 3884
1992 8 4046
1992 9 1290
1992 10 350
1992 11 196
1992 12 56
1992 13 54
1992 14 15
1993 3 657
1993 4 1083
1993 5 2841
1993 6 2252
1993 7 2247
1993 8 2314
1993 9 3671
1993 10 830
1993 11 223
1993 12 188
1993 13 81
1993 14 12
1994 3 702
1994 4 2955
1994 5 1770
1994 6 2603
1994 7 1377
1994 8 1243
1994 9 1263
1994 10 2009
1994 11 454
1994 12 158
1994 13 188
1994 14 82
1995 3 1573
1995 4 1853
1995 5 2661
1995 6 1807
1995 7 2370
1995 8 905
1995 9 574
1995 10 482
