Year Age Resid
1980 3 -0.79
1980 4 -0.60
1980 5 0.25
1980 6 0.16
1980 7 -0.08
1980 8 0.22
1980 9 -0.05
1980 10 0.22
1980 11 -0.30
1980 12 -0.41
1980 13 -0.70
1980 14 -0.04
1981 3 -0.51
1981 4 -0.26
1981 5 -0.56
1981 6 0.36
1981 7 -0.16
1981 8 0.06
1981 9 0.12
1981 10 0.28
1981 11 -0.85
1981 12 0.93
1981 13 1.19
1981 14 1.88
1982 3 0.84
1982 4 -0.25
1982 5 0.13
1982 6 -0.37
1982 7 0.24
1982 8 -0.03
1982 9 0.37
1982 10 -0.36
1982 11 -1.20
1982 12 -1.15
1982 13 -0.53
1982 14 -0.10
1983 3 -2.48
1983 4 0.94
1983 5 -0.67
1983 6 0.11
1983 7 0.46
1983 8 0.20
1983 9 -0.01
1983 10 -0.80
1983 11 -2.43
1983 12 -2.79
1983 13 -5.17
1983 14 -3.83
1984 3 -4.23
1984 4 -1.61
1984 5 -1.29
1984 6 0.22
1984 7 0.47
1984 8 0.79
1984 9 -0.45
1984 10 0.43
1984 11 0.96
1984 12 1.03
1984 13 3.47
1984 14 4.90
1985 3 -0.28
1985 4 1.23
1985 5 0.58
1985 6 0.08
1985 7 0.27
1985 8 -0.19
1985 9 -1.16
1985 10 -0.75
1985 11 -1.41
1985 12 -3.07
1985 13 0.65
1985 14 2.46
1986 3 2.28
1986 4 -0.72
1986 5 0.24
1986 6 -0.32
1986 7 -0.09
1986 8 0.10
1986 9 -0.41
1986 10 0.93
1986 11 -1.09
1986 12 -1.39
1986 13 -1.83
1986 14 -1.75
1987 3 -0.99
1987 4 0.16
1987 5 0.32
1987 6 0.22
1987 7 0.09
1987 8 0.07
1987 9 0.06
1987 10 -0.18
1987 11 -0.08
1987 12 -2.91
1987 13 -1.91
1987 14 -0.24
1988 3 0.92
1988 4 -0.31
1988 5 0.06
1988 6 0.04
1988 7 -0.14
1988 8 0.20
1988 9 0.79
1988 10 -0.66
1988 11 0.48
1988 12 -1.69
1988 13 -3.27
1988 14 -6.88
1989 3 -0.84
1989 4 0.61
1989 5 0.01
1989 6 0.23
1989 7 -0.58
1989 8 0.04
1989 9 0.27
1989 10 -0.18
1989 11 0.71
1989 12 0.37
1989 13 -1.13
1989 14 -3.73
1990 3 -1.78
1990 4 -0.54
1990 5 0.07
1990 6 0.01
1990 7 0.34
1990 8 0.06
1990 9 0.11
1990 10 -0.37
1990 11 0.07
1990 12 -0.78
1990 13 0.16
1990 14 -1.61
1991 3 -1.96
1991 4 -1.11
1991 5 0.06
1991 6 0.33
1991 7 0.03
1991 8 -0.08
1991 9 0.01
1991 10 0.72
1991 11 0.23
1991 12 -1.38
1991 13 -3.92
1991 14 -3.95
1992 3 -0.22
1992 4 0.58
1992 5 1.05
1992 6 0.43
1992 7 0.06
1992 8 -0.83
1992 9 -0.25
1992 10 -0.40
1992 11 -0.28
1992 12 -1.17
1992 13 0.48
1992 14 -0.88
1993 3 0.98
1993 4 -0.16
1993 5 -0.33
1993 6 -0.14
1993 7 -0.20
1993 8 -0.08
1993 9 0.40
1993 10 0.04
1993 11 0.33
1993 12 0.75
1993 13 0.65
1993 14 -1.28
1994 3 1.09
1994 4 0.98
1994 5 -0.12
1994 6 -0.69
1994 7 -0.43
1994 8 -0.46
1994 9 0.20
1994 10 0.41
1994 11 0.51
1994 12 0.80
1994 13 1.87
1994 14 1.79
1995 3 1.59
1995 4 0.28
1995 5 0.10
1995 6 -0.02
1995 7 0.04
1995 8 -0.08
1995 9 -0.20
1995 10 -0.19
1995 11 -0.26
1995 12 -0.87
1995 13 -0.68
1995 14 -1.83
1996 3 1.45
1996 4 0.17
1996 5 -0.12
1996 6 -0.51
1996 7 -0.34
1996 8 0.19
1996 9 0.27
1996 10 0.03
1996 11 0.39
1996 12 -0.15
1996 13 1.33
1996 14 2.41
1997 3 0.25
1997 4 0.33
1997 5 -0.30
1997 6 0.08
1997 7 -0.03
1997 8 0.29
1997 9 -0.10
1997 10 -0.40
1997 11 -0.30
1997 12 0.37
1997 13 -1.12
1997 14 0.20
1998 3 -0.36
1998 4 -0.07
1998 5 -0.47
1998 6 -0.76
1998 7 0.18
1998 8 0.00
1998 9 0.84
1998 10 0.70
1998 11 1.24
1998 12 1.15
1998 13 1.57
1998 14 0.84
1999 3 0.38
1999 4 0.03
1999 5 0.00
1999 6 0.08
1999 7 0.00
1999 8 -0.20
1999 9 -0.35
1999 10 0.33
1999 11 -0.65
1999 12 -0.57
1999 13 0.31
1999 14 0.17
2000 3 -0.07
2000 4 -0.20
2000 5 0.11
2000 6 0.07
2000 7 -0.16
2000 8 0.48
2000 9 -0.49
2000 10 -0.27
2000 11 -0.22
2000 12 -0.93
2000 13 -0.09
2000 14 -1.12
2001 3 -0.09
2001 4 0.23
2001 5 -0.27
2001 6 -0.14
2001 7 -0.03
2001 8 -0.18
2001 9 0.39
2001 10 0.06
2001 11 0.13
2001 12 0.04
2001 13 0.37
2001 14 1.00
2002 3 -0.62
2002 4 -0.08
2002 5 0.18
2002 6 0.36
2002 7 -0.17
2002 8 0.12
2002 9 -0.26
2002 10 -0.35
2002 11 -0.09
2002 12 -1.20
2002 13 -0.10
2002 14 -0.36
2003 3 0.40
2003 4 -0.28
2003 5 0.42
2003 6 -0.02
2003 7 -0.02
2003 8 -0.61
2003 9 0.04
2003 10 -0.20
2003 11 0.04
2003 12 -1.24
2003 13 0.24
2003 14 1.21
2004 3 -0.16
2004 4 -0.39
2004 5 -0.11
2004 6 0.27
2004 7 -0.10
2004 8 0.28
2004 9 0.61
2004 10 0.41
2004 11 -0.05
2004 12 -0.47
2004 13 0.75
2004 14 -0.26
2005 3 -0.39
2005 4 -0.32
2005 5 -0.31
2005 6 0.44
2005 7 0.34
2005 8 -0.23
2005 9 -0.13
2005 10 -0.01
2005 11 0.31
2005 12 -0.07
2005 13 -0.31
2005 14 -0.43
2006 3 -0.69
2006 4 -0.16
2006 5 -0.35
2006 6 -0.03
2006 7 0.56
2006 8 0.07
2006 9 -0.33
2006 10 -0.10
2006 11 0.76
2006 12 0.95
2006 13 1.05
2006 14 0.12
2007 3 0.79
2007 4 0.22
2007 5 0.14
2007 6 0.25
2007 7 -0.13
2007 8 -0.04
2007 9 -0.40
2007 10 -0.48
2007 11 -0.82
2007 12 0.30
2007 13 0.25
2007 14 -0.26
2008 3 0.11
2008 4 0.36
2008 5 0.18
2008 6 0.23
2008 7 -0.11
2008 8 -0.23
2008 9 -0.24
2008 10 -0.30
2008 11 -0.60
2008 12 0.10
2008 13 2.71
2008 14 1.70
2009 3 0.75
2009 4 0.49
2009 5 -0.11
2009 6 -0.27
2009 7 -0.16
2009 8 0.29
2009 9 -0.34
